feature,mean_abs_shap
M_AtomicRadii,0.7300115
L_mfpMQNs36,0.55511415
L_mfpHallKierAlpha,0.5284866
L_afpC3_C3_O1,0.47195515
L_mfpMQNs30,0.3899879
L_linkermetalratio,0.3714698
L_no,0.3307704
L_afpC3_C3_O2,0.31633624
L_mfpChi0v,0.27071643
L_afpC3_C3_H1,0.26815423
M_Valency,0.26450783
L_noh,0.25333214
L_mfpChi1v,0.2491339
L_afpC3_O2_H1,0.23933904
L_mfpChi2n,0.233047
L_mfpChi1n,0.23076163
M_Ionization,0.22335279
L_mfpMQNs21,0.18357894
L_mfpMQNs31,0.17583732
L_mfpMQNs27,0.14811707
